1	पृथ्वी	पृथ्वी	NNP	NNP	_	3	r6	_	_
2	का	का	PSP	PSP	_	1	lwg__psp	_	_
3	आकार	आकार	NN	NN	_	21	k1	_	_
4	गोले	गोले	NN	NN	_	7	mod	_	_
5	के	के	PSP	PSP	_	4	lwg__psp	_	_
6	समान	समान	PSP	PSP	_	4	lwg__psp	_	_
7	है,इसलिए	है,इसलिए	NN	NN	_	21	k1	_	_
8	एक	एक	QC	QC	_	9	card	_	_
9	समय	समय	NN	NN	_	21	k7t	_	_
10	में	में	PSP	PSP	_	9	lwg__psp	_	_
11	सिर्फ	सिर्फ	RP	RP	_	12	lwg__rp	_	_
12	इसके	इसके	PRP	PRP	_	14	r6	_	_
13	आधे	आधे	QF	QF	_	14	quant	_	_
14	भाग	भाग	NN	NN	_	21	k7	_	_
15	पर	पर	PSP	PSP	_	14	lwg__psp	_	_
16	ही	ही	RP	RP	_	14	lwg__rp	_	_
17	सूर्य	सूर्य	NN	NN	_	19	r6	_	_
18	की	की	PSP	PSP	_	17	lwg__psp	_	_
19	रोशनी	रोशनी	NN	NN	_	21	k1	_	_
20	प्राप्त	प्राप्त	JJ	JJ	_	21	pof	_	_
21	होती	होती	VM	VM	_	0	main	_	_
22	है	है	VAUX	VAUX	_	21	lwg__vaux	_	_
23	;चित्र(3.2)	;चित्र(3.2)	CC	CC	_	21	re	_	_
24	|	|	SYM	SYM	_	21	rsym	_	_

